school,date,lecturer,type,time,people,venue,note,color
高雄科技大學,Wed Mar 18 2026 00:00:00 GMT+0800 (台北標準時間),YY,線下,14:00–14:30,150,燕巢校區,學生反應熱烈，活動結束前紛紛掃 LINE QR Code,#ff9500
臺灣大學（工作坊）,Thu Mar 19 2026 00:00:00 GMT+0800 (台北標準時間),Ethan / Brandi,線下,09:30–12:30,15,臺大共同教學館 1F 103,所有學生認真參與，對賽事高度興趣，活動後前來詢問,#0071e3
文化大學,Fri Mar 20 2026 00:00:00 GMT+0800 (台北標準時間),Edick & Brandi,線下,10:00–11:00,30,資訊傳播學系教室,分享得獎作品時，學生表現出高度興趣,#af52de
海洋大學,Wed Mar 25 2026 00:00:00 GMT+0800 (台北標準時間),Brandi,線下,12:20–12:40,15,資訊工程學系,分享 Apple 創業基金後，學生興趣大增,#34c759
慈濟大學,Wed Apr 01 2026 00:00:00 GMT+0800 (台北標準時間),Lynn,線下,16:10–16:30,45,經管系 自媒體傳播課程,老師安排於課程中分享，學校及課程另外提供參賽及獲獎獎勵,#ff3b30
東華大學（線上）,4/2+4/9,Lynn,線上,12:30–13:30,10,線上,學生敢於分享瞭解賽事的原因，積極了解比賽及參賽方式,#5ac8fa
